Date,Ticker,Close,Volume,RSI,StochK,BBLower,BBUpper,DonchLower,DonchUpper,WilliamsR,FearGreed,Patterns,Score,Opinion,ATR,StopLoss,TakeProfit,TrailingStop,TrailingStart,MACD,MACDSignal,MACDHistogram,SMA20,EMA20
2026-02-12,ABCL,2.94,3787737,34.24,12.96,2.66,4.72,2.74,4.85,-87.04,5,,198.00,HOLD,0.27,2.54,3.75,2.54,3.07,-0.49,-0.19,-0.30,3.69,3.50
2026-02-12,BE,139.03,13211403,49.32,16.44,133.31,166.40,131.66,176.49,-83.56,5,,198.00,HOLD,16.10,114.88,187.33,114.88,147.08,6.93,14.60,-7.67,149.86,144.52
2026-02-12,BMNR,19.74,39470936,35.21,19.09,16.15,33.83,17.19,33.15,-80.91,5,,198.00,HOLD,2.23,16.39,26.44,16.39,20.86,-4.29,-2.92,-1.38,24.99,23.94
2026-02-12,CIEN,292.96,2867590,65.63,80.93,213.61,302.72,220.52,308.81,-19.07,5,,148.00,HOLD,19.62,263.53,351.81,263.53,302.77,18.26,8.63,9.63,258.16,264.57
2026-02-12,DLO,12.09,2017372,31.40,7.41,12.22,15.02,11.87,14.88,-92.59,5,,276.00,BUY,0.63,11.14,13.99,11.14,12.41,-0.56,-0.34,-0.22,13.62,13.44
2026-02-12,DNA,8.79,1118442,45.55,40.00,8.20,10.61,7.73,11.10,-60.00,5,,50.00,HOLD,0.79,7.61,11.15,7.61,9.18,-0.27,0.03,-0.30,9.40,9.27
2026-02-12,GEV,816.56,2195958,69.41,84.51,615.12,838.97,639.43,846.00,-15.49,5,,148.00,HOLD,36.74,761.45,926.78,761.45,834.93,58.21,35.80,22.40,727.04,742.16
2026-02-12,GLW,131.50,11016471,75.56,88.04,80.62,136.21,91.01,136.82,-11.96,5,,227.00,SELL,6.13,140.69,113.12,140.69,128.44,13.21,9.20,4.00,108.41,112.15
2026-02-12,GOOGL,309.00,47550034,34.37,5.97,311.50,347.02,306.46,349.00,-94.03,5,,276.00,BUY,10.16,293.76,339.48,293.76,314.08,-0.61,4.00,-4.61,329.26,325.38
2026-02-12,INTC,46.48,87847804,50.01,45.60,42.70,53.85,42.28,54.60,-54.40,5,,50.00,HOLD,3.20,41.68,56.07,41.68,48.08,0.97,2.09,-1.12,48.27,47.28
2026-02-12,IONQ,31.30,14825891,31.60,6.36,28.20,54.32,29.99,54.24,-93.64,5,,198.00,HOLD,3.70,25.75,42.41,25.75,33.15,-6.43,-4.13,-2.30,41.26,39.47
2026-02-12,OPEN,4.38,39828929,31.54,5.34,4.08,6.90,4.28,6.92,-94.66,5,,198.00,HOLD,0.41,3.76,5.62,3.76,4.59,-0.79,-0.55,-0.23,5.49,5.33
2026-02-12,PLTR,129.13,73428117,31.35,5.84,123.65,182.81,126.56,182.43,-94.16,5,,198.00,HOLD,8.73,116.03,155.32,116.03,133.50,-16.29,-12.25,-4.04,153.23,150.41
2026-02-12,POET,5.65,4515978,41.39,26.67,4.54,8.50,5.13,9.14,-73.33,5,,50.00,HOLD,0.59,4.76,7.43,4.76,5.95,-0.89,-0.61,-0.28,6.52,6.24
2026-02-12,TSLA,417.07,61297276,44.74,51.36,399.96,451.61,387.53,452.43,-48.64,5,,50.00,HOLD,16.29,392.64,465.93,392.64,425.21,-10.66,-8.94,-1.72,425.78,425.61
2026-02-12,UPST,30.19,13265300,27.12,1.73,31.31,51.04,29.91,49.26,-98.27,5,,355.00,BUY,2.84,25.92,38.72,25.92,31.61,-4.94,-3.36,-1.58,41.18,39.81
